model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car,,,,,
2023,Tesla,Model X Long Range,SUV,100,1,99990,0,,,,,
2015,Land,Rover Discovery Sport HSE,SUV,20,1,38000,0,,,,,
2010,Ford,Transit-350 XLT,Minivan,15,0,35000,0,,,,,
2020,Land,Rover Range Rover Supercharged LWB,SUV,18,1,215000,0,,,,,
2021,Tesla,Model S Performance,Sedan,102,1,119990,0,,,,,
2001,Ford,Excursion XLT 4WD,SUV,12,0,49700,0,,,,,
2016,Ford,Mustang GT Premium,Coupe,15,1,42000,0,,,,,
2003,Honda,Pilot EX,SUV,18,0,29000,0,,,,,
2015,Nissan,Frontier SV,Pickup,19,0,29000,0,,,,,
2021,Chevrolet,Corvette Stingray w/1LT,Coupe,19,0,59995,0,,,,,
2008,BMW,M5 Base,Sedan,15,1,90000,0,,,,,
2007,Hummer,H3 Base,SUV,18,0,29000,0,,,,,
2009,Dodge,Ram 1500 SRT-10 Quad Cab,Pickup,12,1,45000,1,,,,,
2006,Chrysler,300 Touring,Sedan,20,0,28000,0,,,,,
2020,Mercedes-Benz,AMG GLE 53 AMG GLE 53,SUV,22,1,74900,0,,,,,
2023,BMW,X3 xDrive30i,SUV,25,1,46000,0,,,,,
2019,Land,Rover Range Rover Sport HSE Dynamic,SUV,22,1,83500,0,,,,,
2016,BMW,428 i xDrive SULEV,Coupe,28,1,40000,0,,,,,
2013,Audi,S4 3.0T Premium Plus,Sedan,20,1,49400,0,,,,,
2015,Toyota,4Runner Limited,SUV,20,1,43000,0,,,,,
2014,Land,Rover Range Rover Sport HSE,SUV,19,1,62950,0,,,,,
2008,Chevrolet,Camaro 2SS,Coupe,16,1,32000,1,,,,,
2014,Chevrolet,Cruze LTZ,Sedan,24,1,21000,0,,,,,
2022,INFINITI,QX80 SENSORY,SUV,17,1,84900,0,,,,,
2020,BMW,M8 Competition,Coupe,15,1,130000,0,,,,,
2021,Cadillac,Escalade ESV Sport,SUV,16,1,86500,0,,,,,
2005,Lincoln,Town Car Signature,Sedan,18,0,48760,0,,,,,
2015,BMW,X5 xDrive35i,SUV,21,1,57500,0,,,,,
2014,BMW,Z4 sDrive28i,Convertible,24,0,50000,0,,,,,
2016,Audi,S6 4.0T,Sedan,24,0,74600,0,,,,,
2018,Tesla,Model S P100D,Sedan,102,1,140000,1,,,,,
2018,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,25,1,41000,0,,,,,
2022,Jeep,Grand Cherokee L Overland,SUV,21,1,59240,0,,,,,
2001,Mazda,CX-9 Signature,SUV,18,0,25000,0,,,,,
2002,Mercedes-Benz,SL-Class SL500 Roadster,Convertible,15,1,86800,1,,,,,
2015,Porsche,911 Carrera S,Coupe,21,1,110000,1,,,,,
2009,Porsche,911 Carrera 4S Cabriolet,Convertible,20,1,104000,1,,,,,
2011,Lexus,ES 350 Base,Sedan,20,0,36150,0,,,,,
2005,Chrysler,200 C,Sedan,20,0,20000,0,,,,,
2022,Chevrolet,Silverado 1500 Limited High Country,Pickup,20,1,56000,0,,,,,
2021,Audi,Q5 2.0T Premium Plus,SUV,25,1,49000,0,,,,,
2022,Chevrolet,Camaro 1SS,Coupe,16,0,42200,0,,,,,
2022,Maserati,Levante Modena,SUV,18,1,86700,1,,,,,
2010,INFINITI,G37 x,Sedan,19,0,40450,0,,,,,
2018,Toyota,Highlander XLE,SUV,21,1,40000,0,,,,,
2022,Jeep,Wrangler Sahara,SUV,22,1,47000,0,,,,,
2015,Ford,F-150 Lariat,Pickup,18,1,45000,0,,,,,
2016,Cadillac,ATS 2.5L Luxury,Sedan,26,0,37200,0,,,,,
2019,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Coupe,19,1,82500,0,,,,,
2022,Ford,Bronco Outer Banks Advanced,SUV,20,1,47500,0,,,,,
2018,Lincoln,AMG C 43 Base 4MATIC,Sedan,0,0,0,0,,,,,
2016,Mercedes-Benz,Sprinter 3500 High Roof,Minivan,18,0,40000,0,,,,,
2018,Ford,Explorer XLT,SUV,24,0,34000,0,,,,,
2019,Cadillac,CTS 2.0L Turbo Luxury,Sedan,27,0,46490,0,,,,,
2021,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,27,1,43200,0,,,,,
2017,Mercedes-Benz,GLC 300 Base 4MATIC,SUV,24,0,40600,0,,,,,
2013,BMW,M5 Base,Sedan,15,1,95300,1,,,,,
2015,Cadillac,ATS 2.5L Luxury,Sedan,26,0,34800,0,,,,,
2006,Dodge,Dakota SLT Quad Cab,Pickup,15,0,29000,0,,,,,
2019,RAM,2500 Big Horn,Pickup,15,0,50000,0,,,,,
2014,Porsche,Cayenne S,SUV,18,0,82300,0,,,,,
2022,Nissan,Murano SV,SUV,20,0,38000,0,,,,,
2020,Audi,Q5 S line Premium Plus,SUV,24,1,57000,0,,,,,
2017,Acura,TL Technology,Sedan,24,1,45000,0,,,,,
2019,Toyota,4Runner Venture,SUV,17,0,44000,0,,,,,
2015,Hyundai,Sonata GLS,Sedan,27,0,23000,0,,,,,
2020,Toyota,Highlander Limited,SUV,20,1,40000,0,,,,,
2019,Aston,Martin DBS Superleggera,Coupe,15,1,316300,1,,,,,
2022,Tesla,Model Y Performance,SUV,108,1,61990,0,,,,,
2023,Kia,Telluride S,SUV,20,0,43800,0,,,,,
2016,Ford,Explorer sport,SUV,20,1,40820,0,,,,,
2022,Audi,Q5 S line Premium Plus,SUV,24,1,55000,0,,,,,
2018,Dodge,Challenger R/T Scat Pack,Coupe,15,1,39000,0,,,,,
2023,Ford,Bronco Wildtrak Advanced,SUV,18,1,54000,0,,,,,
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Coupe,18,1,70000,0,,,,,
2022,Porsche,911 Carrera 4S,Coupe,22,1,123000,0,,,,,
2018,Audi,Q7 55 Prestige,SUV,19,1,72000,0,,,,,
2015,BMW,M235 i,Coupe,22,1,43000,0,,,,,
2015,FIAT,500 Sport,Hatchback,34,0,19500,0,,,,,
2022,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,25,0,43100,0,,,,,
2022,Genesis,GV80 2.5T,SUV,24,1,48900,0,,,,,
2023,Land,Rover Range Rover P400 SE SWB,SUV,18,1,104000,0,,,,,
2022,Mercedes-Benz,Metris Base,Minivan,20,0,33900,0,,,,,
2020,BMW,M4 Competition,Coupe,18,1,73800,1,,,,,
2011,Chrysler,300 Base,Sedan,18,0,35000,0,,,,,
2004,RAM,Dakota Sport,Pickup,15,0,19600,0,,,,,
2016,Toyota,Highlander XLE,SUV,20,1,41000,0,,,,,
2023,BMW,M2 Competition,Coupe,20,1,62000,0,,,,,
2023,Land,Rover Range Rover P530 SE LWB 7 Seat,SUV,18,1,115000,0,,,,,
2017,Porsche,Cayenne Turbo S,SUV,14,1,165600,1,,,,,
2020,Subaru,Outback Limited XT,SUV,26,1,35895,0,,,,,
2016,Buick,Optima LX,Sedan,25,0,24000,0,,,,,
2016,Ford,F-150 XLT,Pickup,20,0,30000,0,,,,,
2007,Ford,Thunderbird Deluxe,Convertible,20,1,40995,1,,,,,
2004,BMW,325 i,Sedan,24,0,25000,0,,,,,
2018,Kia,Stinger GT2,Sedan,22,1,52500,0,,,,,
2015,Audi,A6 3.0T Prestige,Sedan,20,1,60000,0,,,,,
2002,BMW,M3 Base,Coupe,20,1,50000,1,,,,,
2010,Chevrolet,Tahoe LT,SUV,15,1,42000,0,,,,,
2020,Alfa,Romeo Stelvio Ti,SUV,24,0,45490,0,,,,,
2020,Toyota,Compass Limited,SUV,25,0,33000,0,,,,,
2013,Chevrolet,Tahoe LTZ,SUV,20,1,60850,0,,,,,
2015,Tesla,Model S P100D,Sedan,0,1,134500,0,,,,,
2021,Lexus,LC 500 Base,Coupe,17,0,92600,0,,,,,
2007,Jeep,Wrangler SE,SUV,15,0,25000,0,,,,,
2018,Mercedes-Benz,Sprinter Normal Roof,Minivan,20,0,35000,0,,,,,
2011,Honda,Pilot EX-L,SUV,18,0,33930,0,,,,,
2019,Ford,Expedition Platinum,SUV,17,1,77780,0,,,,,
2021,Ford,Expedition Max King Ranch,SUV,17,1,74995,0,,,,,
2021,Audi,Huracan LP580-2S,Coupe,15,1,208000,0,,,,,
2022,Jeep,Wrangler SE,SUV,20,0,35000,0,,,,,
2019,Mercedes-Benz,AMG GT 63 S 4-Door,Sedan,15,1,162900,0,,,,,
2011,Toyota,FJ Cruiser Base,SUV,17,0,29000,0,,,,,
2017,Jaguar,F-TYPE S British Design Edition,Coupe,20,1,90600,0,,,,,
2019,Chevrolet,Suburban Premier,SUV,15,1,74900,0,,,,,
2018,Ford,Expedition Platinum,SUV,22,1,75000,0,,,,,
2015,Acura,ILX Technology Plus Package,Sedan,25,1,29200,0,,,,,
2022,Lexus,RX 450h F Sport Handling,SUV,30,1,56240,0,,,,,
2023,Rivian,R1S Adventure Package,SUV,74,1,74900,0,,,,,
2021,Honda,Pilot EX-L,SUV,20,0,39000,0,,,,,
2020,Land,Rover Range Rover Sport HSE,SUV,20,1,70000,0,,,,,
2019,BMW,ALPINA B7 ALPINA B7 xDrive,Sedan,23,1,141700,1,,,,,
2008,Dodge,Charger SRT8,Sedan,14,1,39690,1,,,,,
2018,Mercedes-Benz,Metris Base,Minivan,21,0,31990,0,,,,,
2019,Audi,RS 7 4.0T Performance Prestige,Coupe,22,1,115000,1,,,,,
2005,BMW,Z4 2.5i Roadster,Convertible,22,0,31900,0,,,,,
2012,Mazda,Mazda6 i Touring,Sedan,28,0,24000,0,,,,,
2011,Mercedes-Benz,C-Class C55 AMG Sport,Sedan,18,1,65000,0,,,,,
2016,Lincoln,MKZ Reserve,Sedan,22,1,42000,0,,,,,
2015,Chevrolet,Silverado 1500 2LT,Pickup,18,0,34400,0,,,,,
2013,Chevrolet,Silverado 1500 2LT,Pickup,18,0,32000,0,,,,,
2019,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,21,1,100000,0,,,,,
2022,Ford,F-150 Platinum,Pickup,20,1,70000,0,,,,,
2023,Acura,TLX Tech,Sedan,22,0,42900,0,,,,,
2007,Jeep,Liberty Sport,SUV,18,0,23345,0,,,,,
2010,MINI,Cooper Base,Hatchback,28,0,19800,0,,,,,
2007,Ford,Mustang Premium,Coupe,18,1,29000,0,,,,,
2010,Ford,Mustang Shelby GT500,Coupe,15,1,49000,1,,,,,
2020,Porsche,Taycan 4S,Sedan,80,1,104000,0,,,,,
2020,Audi,A7 Premium Plus,Sedan,22,1,87000,0,,,,,
2018,Mercedes-Benz,G-Class G 550 4MATIC,SUV,13,1,124900,1,,,,,
2001,Chevrolet,Camaro Base,Coupe,19,0,23000,0,,,,,
1993,Porsche,Boxster S,Convertible,20,0,40000,1,,,,,
2012,Jeep,Wrangler Unlimited Freedom Edition,SUV,16,1,29000,0,,,,,
2012,Audi,S5 4.2 Premium Plus,Coupe,18,1,58300,0,,,,,
2022,Kia,K5 GT-Line,Sedan,29,0,28690,0,,,,,
2020,Mercedes-Benz,AMG G 63 Base,SUV,13,1,157000,1,,,,,
2020,Jaguar,F-PACE S,SUV,22,1,68900,0,,,,,
2020,Kia,Forte GT-Line,Sedan,30,0,24000,0,,,,,
2012,BMW,328 i xDrive,Sedan,30,0,36000,0,,,,,
2019,Ford,F-250 XLT,Pickup,18,0,40000,0,,,,,
2004,Ford,F-250 XLT Crew Cab Super Duty,Pickup,12,0,26850,0,,,,,
2021,Kia,K5 EX,Sedan,29,0,27190,0,,,,,
2019,GMC,Acadia Denali,SUV,22,1,52700,0,,,,,
2023,INFINITI,QX80 SENSORY,SUV,17,1,83850,0,,,,,
2007,Toyota,Camry Solara SLE,Convertible,21,1,30000,0,,,,,
2021,Jeep,Gladiator Overland,Pickup,22,1,41790,0,,,,,
2018,Jaguar,XF 25t Premium,Sedan,24,1,61900,0,,,,,
2007,Ford,Explorer Timberline,SUV,14,0,28395,0,,,,,
2021,Hyundai,Palisade SEL,SUV,21,0,42000,0,,,,,
2015,Ford,F-150 XL,Pickup,19,0,27000,0,,,,,
2017,Ford,F-150 Lariat,Pickup,20,1,45000,0,,,,,
2019,INFINITI,QX60 Luxe,SUV,20,1,46900,0,,,,,
2018,Chevrolet,Sonic LT,Sedan,26,0,19800,0,,,,,
2018,Audi,A8 L 55,Sedan,24,1,85000,0,,,,,
2015,MINI,Cooper S Clubman Base,Hatchback,25,0,23900,0,,,,,
1994,Toyota,Land Cruiser Base,SUV,14,0,35000,0,,,,,
1998,Jeep,Liberty Sport,SUV,20,0,21000,0,,,,,
2020,Land,Rover Range Rover Sport Supercharged,SUV,19,1,83750,0,,,,,
2014,BMW,335 i,Sedan,20,1,42000,1,,,,,
2018,Volkswagen,Atlas 3.6L SEL Premium,SUV,20,1,49000,0,,,,,
2022,Nissan,NV Passenger NV3500 HD SL V8,Minivan,16,0,41550,0,,,,,
2006,Porsche,911 Carrera,Coupe,19,0,76000,1,,,,,
2003,Jeep,Wrangler SE,SUV,16,0,19545,0,,,,,
2022,Kia,K5 EX,Sedan,25,0,26500,0,,,,,
2023,BMW,X7 xDrive40i,SUV,22,1,83000,0,,,,,
2010,Dodge,Ram 1500 ST,Pickup,14,0,24000,0,,,,,
2021,Lamborghini,Urus Pearl Capsule,SUV,14,1,207326,0,,,,,
2023,Maserati,G 550 4x4 Squared Base,SUV,13,1,130000,0,,,,,
2023,Nissan,GT-R Premium,Coupe,20,1,115000,1,,,,,
2001,Mercedes-Benz,SLK-Class SLK320,Convertible,18,1,40000,0,,,,,
2017,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,18,1,104000,0,,,,,
2020,Ford,F-250 King Ranch,Pickup,15,1,60000,0,,,,,
2019,BMW,M760 i xDrive,Sedan,19,1,157800,0,,,,,
2020,Rolls-Royce,Cullinan,SUV,12,1,325000,1,,,,,
2020,Ford,911 GT3,Coupe,15,1,100000,1,,,,,
2014,Mercedes-Benz,E-Class E 550 4MATIC,Sedan,18,1,63000,0,,,,,
1997,Jaguar,XK8 Base,Coupe,18,0,70000,1,,,,,
2011,BMW,535 i xDrive,Sedan,20,1,60000,0,,,,,
2021,Cadillac,Escalade ESV Premium Luxury Platinum,SUV,16,1,102000,0,,,,,
2020,RAM,1500 Big Horn,Pickup,22,1,40000,0,,,,,
2012,Mercedes-Benz,CLS-Class CLS 550,Sedan,17,1,73500,0,,,,,
2018,Cadillac,CTS 2.0L Turbo Luxury,Sedan,30,0,68790,0,,,,,
2005,Ford,Mustang Premium,Coupe,20,1,25000,0,,,,,
2021,Ford,Explorer Timberline,SUV,20,0,45840,0,,,,,
2016,Dodge,Challenger SRT Hellcat,Coupe,13,1,64000,1,,,,,
2022,Audi,RS 7 4.0T quattro,Sedan,20,1,116500,1,,,,,
2022,Ford,F-250 XLT,Pickup,18,0,43000,0,,,,,
2016,BMW,M6 Base,Coupe,15,1,113000,0,,,,,
2019,Ford,Focus RS Base,Hatchback,22,1,36000,1,,,,,
2011,Porsche,Cayman Base,Coupe,20,0,52000,1,,,,,
2017,Mercedes-Benz,AMG C 63 Base,Sedan,19,1,67600,0,,,,,
2019,Audi,i8 Base,Coupe,76,0,147700,1,,,,,
2017,Mercedes-Benz,AMG G 63 Base,SUV,13,1,148900,1,,,,,
2021,Mercedes-Benz,S-Class S 550 4MATIC,Sedan,20,1,110000,0,,,,,
2013,Dodge,2500 Big Horn,Pickup,14,0,45000,0,,,,,
2023,Ford,Bronco Base,SUV,20,0,30000,0,,,,,
2013,GMC,Yukon SLT,SUV,15,1,50000,0,,,,,
2020,BMW,750 i xDrive,Sedan,20,1,94000,0,,,,,
2021,BMW,M3 CS,Sedan,20,1,99900,1,,,,,
2016,Volkswagen,Touareg VR6 Lux,SUV,23,0,49300,0,,,,,
2016,Toyota,Tundra SR5,Pickup,13,0,35000,0,,,,,
2005,Chrysler,300C Base,Sedan,20,0,35000,0,,,,,
2007,Mercedes-Benz,SLK-Class SLK 350,Convertible,19,0,52300,0,,,,,
2010,Cadillac,SRX Performance Collection,SUV,25,1,51000,0,,,,,
2008,Land,Rover Range Rover Sport Supercharged,SUV,12,1,71400,0,,,,,
2022,BMW,M3 Competition xDrive,Sedan,18,1,75000,0,,,,,
2021,Ford,Transit-350 XLT,Minivan,14,0,40000,0,,,,,
2019,Mercedes-Benz,E-Class AMG E 53,Sedan,21,1,74500,0,,,,,
2014,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,20,0,59700,0,,,,,
2013,Cadillac,Escalade Premium Luxury Platinum,SUV,14,1,75000,0,,,,,
2020,Toyota,Tundra SR5,Pickup,13,0,38700,0,,,,,
2015,Porsche,Cayenne Turbo S,SUV,14,1,164000,1,,,,,
2019,BMW,X2 xDrive28i,SUV,24,1,38000,0,,,,,
2012,Audi,A3 2.0T Premium,Hatchback,30,1,30000,0,,,,,
2005,Porsche,911 Carrera,Coupe,20,0,80000,0,,,,,
2018,Land,Rover Range Rover Velar P250 SE R-Dynamic,SUV,24,1,64900,0,,,,,
2016,Lincoln,MKZ Reserve I,Sedan,31,1,45400,0,,,,,
2018,Porsche,718 Boxster S,Convertible,22,1,71300,0,,,,,
2015,Chevrolet,Suburban 1500 LTZ,SUV,18,1,67180,0,,,,,
2015,Toyota,Highlander XLE,SUV,21,1,40490,0,,,,,
2023,Audi,RS 7 4.0T quattro,Sedan,17,1,120000,1,,,,,
2020,Toyota,Tacoma PreRunner,Pickup,20,0,32000,0,,,,,
2015,Ford,Mustang V6,Coupe,19,0,24000,0,,,,,
2021,Dodge,Durango GT,SUV,21,0,34790,0,,,,,
2022,Toyota,Supra 3.0 Premium,Coupe,24,1,51500,0,,,,,
2006,BMW,135 i,Coupe,22,1,35000,0,,,,,
2019,Mercedes-Benz,E-Class E 400,Sedan,23,1,60000,0,,,,,
2006,BMW,M5 Base,Sedan,14,1,90000,1,,,,,
2009,Ford,Mustang GT,Coupe,17,0,34595,0,,,,,
2021,Kia,Sorento LX,SUV,26,0,30790,0,,,,,
2020,Cadillac,CT6-V 4.2L Blackwing Twin Turbo,Sedan,15,1,120000,0,,,,,
2020,Porsche,911 Carrera S,Coupe,22,1,113300,1,,,,,
2005,Dodge,Ram 1500 Laramie Mega Cab,Pickup,15,0,35000,0,,,,,
2008,Toyota,Tacoma PreRunner,Pickup,20,0,20000,0,,,,,
2021,Audi,A6 55 Premium Plus,Sedan,25,1,63200,0,,,,,
2021,Ford,F-150 XL,Pickup,20,0,29100,0,,,,,
2022,Chevrolet,Silverado 1500 ZR2,Pickup,16,1,70000,0,,,,,
2021,Mazda,CX-30 Preferred,SUV,25,0,25850,0,,,,,
2011,Chrysler,Town & Country Touring,Minivan,17,0,29995,0,,,,,
2017,RAM,2500 Powerwagon,Pickup,10,0,57000,0,,,,,
2018,Ford,Explorer Limited,SUV,20,1,52000,0,,,,,
1993,Ford,F-250 XL SuperCab H/D,Pickup,14,0,20000,0,,,,,
2015,Cadillac,XTS Luxury,Sedan,18,1,61000,0,,,,,
2014,Ford,Explorer XLT,SUV,20,0,32995,0,,,,,
2020,Jeep,Gladiator Rubicon,Pickup,17,1,43300,0,,,,,
2019,Porsche,Macan Turbo,SUV,20,1,85000,0,,,,,
2016,Maserati,Ghibli S Q4,Sedan,17,1,74900,0,,,,,
2011,Ford,F-150 Lariat,Pickup,15,1,38000,0,,,,,
2023,Ford,F-150 Raptor,Pickup,15,1,70000,0,,,,,
2015,MINI,Countryman Cooper S ALL4,SUV,25,1,26000,0,,,,,
2015,Audi,A4 2.0T Tech Premium,Sedan,27,1,38500,0,,,,,
2009,Audi,S4 4.2 quattro,Sedan,18,0,54100,1,,,,,
2021,Mazda,CX-30 Premium Package,SUV,25,1,29000,0,,,,,
2018,Land,Rover Range Rover Sport HSE Dynamic,SUV,22,1,71500,0,,,,,
2023,Toyota,Tundra SR5,Pickup,18,0,46300,0,,,,,
2016,Subaru,WRX STI Base,Sedan,18,0,34995,0,,,,,
2010,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,20,0,55950,0,,,,,
2016,Audi,A6 2.0T Premium Plus,Sedan,30,1,56000,0,,,,,
2017,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,25,1,42000,0,,,,,
2012,Toyota,4Runner 4WD,SUV,17,0,30500,0,,,,,
